Value,NAME_STATE,Reclass,NEW_CLASS
1110,Upland Hardwood Forest,3,Hardwood Forested Uplands
1120,Mesic Hammock,6,Mixed Hardwood-Coniferous
1130,Rockland Hammock,3,Hardwood Forested Uplands
1140,Slope Forest,3,Hardwood Forested Uplands
1150,Xeric Hammock,6,Mixed Hardwood-Coniferous
1200,High Pine and Scrub,4,High Pine & Scrub
1210,Scrub,4,High Pine & Scrub
1213,Sand Pine Scrub,4,High Pine & Scrub
1214,Coastal Scrub,8,Coastal Uplands
1231,Upland Pine,6,Mixed Hardwood-Coniferous
1240,Sandhill,4,High Pine & Scrub
1310,Dry Flatwoods,5,Pine Flatwoods & Dry Prairie
1311,Mesic Flatwoods,5,Pine Flatwoods & Dry Prairie
1312,Scrubby Flatwoods,5,Pine Flatwoods & Dry Prairie
1320,Pine Rockland,5,Pine Flatwoods & Dry Prairie
1330,Dry Prairie,5,Pine Flatwoods & Dry Prairie
1340,Palmetto Prairie,5,Pine Flatwoods & Dry Prairie
1400,Mixed Hardwood-Coniferous,6,Mixed Hardwood-Coniferous
1410,Successional Hardwood Forest,6,Mixed Hardwood-Coniferous
1500,Shrub and Brushland,7,Shrub and Brushland
1600,Coastal Uplands,8,Coastal Uplands
1650,Maritime Hammock,8,Coastal Uplands
1670,Sand Beach (Dry),8,Coastal Uplands
1700,Barren and Outcrop Communities,9,Barren
1800,Cultural - Terrestrial,15,Low Intensity Urban
1821,Low Intensity Urban,15,Low Intensity Urban
1822,High Intensity Urban,16,High Intensity Urban
1830,Rural,17,Rural Lands
1840,Transportation,17,Rural Lands
1850,Communication,17,Rural Lands
1860,Utilities,17,Rural Lands
1870,Extractive,17,Rural Lands
1880,Bare Soil/Clear Cut,9,Barren
2100,Freshwater Non-Forested Wetlands,12,Freshwater Non-Vegetated Wetland
2110,Prairies and Bogs,10,Freshwater Non-Forested Wetland
2120,Marshes,8,Coastal Uplands
2121,Isolated Freshwater Marsh,10,Freshwater Non-Forested Wetland
2123,Floodplain Marsh,10,Freshwater Non-Forested Wetland
2200,Freshwater Forested Wetlands,11,Freshwater Forested Wetland
2210,Cypress/Tupelo(incl Cy/Tu mixed),11,Freshwater Forested Wetland
2211,Cypress,11,Freshwater Forested Wetland
2213,Isolated Freshwater Swamp,11,Freshwater Forested Wetland
2214,Strand Swamp,11,Freshwater Forested Wetland
2215,Floodplain Swamp,11,Freshwater Forested Wetland
2220,Other Coniferous Wetlands,11,Freshwater Forested Wetland
2221,Wet Flatwoods,11,Freshwater Forested Wetland
2230,Other Hardwood Wetlands,11,Freshwater Forested Wetland
2231,Baygall,11,Freshwater Forested Wetland
2232,Hydric Hammock,11,Freshwater Forested Wetland
2300,Non-vegetated Wetland,10,Freshwater Non-Forested Wetland
2400,Cultural - Palustrine,1,Natural or Artificial Lakes & Ponds
3000,Lacustrine,1,Natural or Artificial Lakes & Ponds
3100,Natural Lakes and Ponds,1,Natural or Artificial Lakes & Ponds
3200,Cultural - Lacustrine,1,Natural or Artificial Lakes & Ponds
4000,Riverine,13,Natural Rivers & Streams
4100,Natural Rivers and Streams,13,Natural Rivers & Streams
4200,Cultural - Riverine,1,Natural or Artificial Lakes & Ponds
5000,Estuarine,2,Estuarine
5220,Tidal Flat,8,Coastal Uplands
5240,Salt Marsh,2,Estuarine
5250,Mangrove Swamp,2,Estuarine
5252,Scrub Mangrove,2,Estuarine
5300,Cultural - Estuarine,15,Low Intensity Urban
6000,Marine,2,Estuarine
7000,Exotic Plants,19,Exotic Plants
9100,Unconsolidated Substrate,9,Barren
18331,Cropland/Pasture,18,Agriculture
18332,Orchards/Groves,18,Agriculture
18333,Tree Plantations,6,Mixed Hardwood-Coniferous
18334,Vineyard and Nurseries,18,Agriculture
18335,Other Agriculture,18,Agriculture
22131,Dome Swamp,11,Freshwater Forested Wetland
22132,Basin Swamp,11,Freshwater Forested Wetland
183313,Improved Pasture,17,Rural Lands
1833121,Sugarcane,18,Agriculture
